"","callDate","callType","neighborhood","Freq"
"249","12/01/2016","Non Life-threatening","Inner Richmond",0
"250","12/02/2016","Non Life-threatening","Inner Richmond",0
"251","12/03/2016","Non Life-threatening","Inner Richmond",0
"252","12/04/2016","Non Life-threatening","Inner Richmond",0
"253","12/05/2016","Non Life-threatening","Inner Richmond",0
"254","12/06/2016","Non Life-threatening","Inner Richmond",2
"255","12/07/2016","Non Life-threatening","Inner Richmond",0
"256","12/08/2016","Non Life-threatening","Inner Richmond",0
"257","12/09/2016","Non Life-threatening","Inner Richmond",0
"258","12/10/2016","Non Life-threatening","Inner Richmond",0
"259","12/11/2016","Non Life-threatening","Inner Richmond",0
"260","12/12/2016","Non Life-threatening","Inner Richmond",0
"261","12/13/2016","Non Life-threatening","Inner Richmond",0
"262","12/14/2016","Non Life-threatening","Inner Richmond",1
"263","12/15/2016","Non Life-threatening","Inner Richmond",0
"264","12/16/2016","Non Life-threatening","Inner Richmond",0
"265","12/17/2016","Non Life-threatening","Inner Richmond",0
"266","12/18/2016","Non Life-threatening","Inner Richmond",0
"267","12/19/2016","Non Life-threatening","Inner Richmond",0
"268","12/20/2016","Non Life-threatening","Inner Richmond",0
"269","12/21/2016","Non Life-threatening","Inner Richmond",2
"270","12/22/2016","Non Life-threatening","Inner Richmond",1
"271","12/23/2016","Non Life-threatening","Inner Richmond",1
"272","12/24/2016","Non Life-threatening","Inner Richmond",2
"273","12/25/2016","Non Life-threatening","Inner Richmond",0
"274","12/26/2016","Non Life-threatening","Inner Richmond",0
"275","12/27/2016","Non Life-threatening","Inner Richmond",0
"276","12/28/2016","Non Life-threatening","Inner Richmond",0
"277","12/29/2016","Non Life-threatening","Inner Richmond",1
"278","12/30/2016","Non Life-threatening","Inner Richmond",0
"279","12/31/2016","Non Life-threatening","Inner Richmond",0
"280","12/01/2016","Potentially Life-Threatening","Inner Richmond",1
"281","12/02/2016","Potentially Life-Threatening","Inner Richmond",1
"282","12/03/2016","Potentially Life-Threatening","Inner Richmond",3
"283","12/04/2016","Potentially Life-Threatening","Inner Richmond",1
"284","12/05/2016","Potentially Life-Threatening","Inner Richmond",2
"285","12/06/2016","Potentially Life-Threatening","Inner Richmond",0
"286","12/07/2016","Potentially Life-Threatening","Inner Richmond",2
"287","12/08/2016","Potentially Life-Threatening","Inner Richmond",0
"288","12/09/2016","Potentially Life-Threatening","Inner Richmond",0
"289","12/10/2016","Potentially Life-Threatening","Inner Richmond",1
"290","12/11/2016","Potentially Life-Threatening","Inner Richmond",4
"291","12/12/2016","Potentially Life-Threatening","Inner Richmond",2
"292","12/13/2016","Potentially Life-Threatening","Inner Richmond",1
"293","12/14/2016","Potentially Life-Threatening","Inner Richmond",3
"294","12/15/2016","Potentially Life-Threatening","Inner Richmond",1
"295","12/16/2016","Potentially Life-Threatening","Inner Richmond",2
"296","12/17/2016","Potentially Life-Threatening","Inner Richmond",2
"297","12/18/2016","Potentially Life-Threatening","Inner Richmond",1
"298","12/19/2016","Potentially Life-Threatening","Inner Richmond",2
"299","12/20/2016","Potentially Life-Threatening","Inner Richmond",3
"300","12/21/2016","Potentially Life-Threatening","Inner Richmond",0
"301","12/22/2016","Potentially Life-Threatening","Inner Richmond",2
"302","12/23/2016","Potentially Life-Threatening","Inner Richmond",0
"303","12/24/2016","Potentially Life-Threatening","Inner Richmond",1
"304","12/25/2016","Potentially Life-Threatening","Inner Richmond",0
"305","12/26/2016","Potentially Life-Threatening","Inner Richmond",2
"306","12/27/2016","Potentially Life-Threatening","Inner Richmond",2
"307","12/28/2016","Potentially Life-Threatening","Inner Richmond",3
"308","12/29/2016","Potentially Life-Threatening","Inner Richmond",0
"309","12/30/2016","Potentially Life-Threatening","Inner Richmond",0
"310","12/31/2016","Potentially Life-Threatening","Inner Richmond",2
