"","callDate","callType","neighborhood","Freq"
"559","12/01/2016","Non Life-threatening","Presidio",0
"560","12/02/2016","Non Life-threatening","Presidio",1
"561","12/03/2016","Non Life-threatening","Presidio",0
"562","12/04/2016","Non Life-threatening","Presidio",0
"563","12/05/2016","Non Life-threatening","Presidio",0
"564","12/06/2016","Non Life-threatening","Presidio",0
"565","12/07/2016","Non Life-threatening","Presidio",0
"566","12/08/2016","Non Life-threatening","Presidio",0
"567","12/09/2016","Non Life-threatening","Presidio",0
"568","12/10/2016","Non Life-threatening","Presidio",0
"569","12/11/2016","Non Life-threatening","Presidio",0
"570","12/12/2016","Non Life-threatening","Presidio",1
"571","12/13/2016","Non Life-threatening","Presidio",0
"572","12/14/2016","Non Life-threatening","Presidio",0
"573","12/15/2016","Non Life-threatening","Presidio",0
"574","12/16/2016","Non Life-threatening","Presidio",0
"575","12/17/2016","Non Life-threatening","Presidio",0
"576","12/18/2016","Non Life-threatening","Presidio",0
"577","12/19/2016","Non Life-threatening","Presidio",0
"578","12/20/2016","Non Life-threatening","Presidio",1
"579","12/21/2016","Non Life-threatening","Presidio",0
"580","12/22/2016","Non Life-threatening","Presidio",0
"581","12/23/2016","Non Life-threatening","Presidio",0
"582","12/24/2016","Non Life-threatening","Presidio",0
"583","12/25/2016","Non Life-threatening","Presidio",1
"584","12/26/2016","Non Life-threatening","Presidio",0
"585","12/27/2016","Non Life-threatening","Presidio",0
"586","12/28/2016","Non Life-threatening","Presidio",0
"587","12/29/2016","Non Life-threatening","Presidio",0
"588","12/30/2016","Non Life-threatening","Presidio",0
"589","12/31/2016","Non Life-threatening","Presidio",0
"590","12/01/2016","Potentially Life-Threatening","Presidio",0
"591","12/02/2016","Potentially Life-Threatening","Presidio",1
"592","12/03/2016","Potentially Life-Threatening","Presidio",0
"593","12/04/2016","Potentially Life-Threatening","Presidio",0
"594","12/05/2016","Potentially Life-Threatening","Presidio",0
"595","12/06/2016","Potentially Life-Threatening","Presidio",0
"596","12/07/2016","Potentially Life-Threatening","Presidio",0
"597","12/08/2016","Potentially Life-Threatening","Presidio",0
"598","12/09/2016","Potentially Life-Threatening","Presidio",0
"599","12/10/2016","Potentially Life-Threatening","Presidio",1
"600","12/11/2016","Potentially Life-Threatening","Presidio",1
"601","12/12/2016","Potentially Life-Threatening","Presidio",0
"602","12/13/2016","Potentially Life-Threatening","Presidio",0
"603","12/14/2016","Potentially Life-Threatening","Presidio",1
"604","12/15/2016","Potentially Life-Threatening","Presidio",0
"605","12/16/2016","Potentially Life-Threatening","Presidio",0
"606","12/17/2016","Potentially Life-Threatening","Presidio",0
"607","12/18/2016","Potentially Life-Threatening","Presidio",0
"608","12/19/2016","Potentially Life-Threatening","Presidio",0
"609","12/20/2016","Potentially Life-Threatening","Presidio",0
"610","12/21/2016","Potentially Life-Threatening","Presidio",0
"611","12/22/2016","Potentially Life-Threatening","Presidio",0
"612","12/23/2016","Potentially Life-Threatening","Presidio",0
"613","12/24/2016","Potentially Life-Threatening","Presidio",0
"614","12/25/2016","Potentially Life-Threatening","Presidio",1
"615","12/26/2016","Potentially Life-Threatening","Presidio",1
"616","12/27/2016","Potentially Life-Threatening","Presidio",0
"617","12/28/2016","Potentially Life-Threatening","Presidio",1
"618","12/29/2016","Potentially Life-Threatening","Presidio",0
"619","12/30/2016","Potentially Life-Threatening","Presidio",0
"620","12/31/2016","Potentially Life-Threatening","Presidio",0
