"","callDate","callType","neighborhood","Freq"
"94","12/01/2016","Non Life-threatening","Haight Ashbury",1
"95","12/02/2016","Non Life-threatening","Haight Ashbury",1
"96","12/03/2016","Non Life-threatening","Haight Ashbury",2
"97","12/04/2016","Non Life-threatening","Haight Ashbury",1
"98","12/05/2016","Non Life-threatening","Haight Ashbury",0
"99","12/06/2016","Non Life-threatening","Haight Ashbury",0
"100","12/07/2016","Non Life-threatening","Haight Ashbury",0
"101","12/08/2016","Non Life-threatening","Haight Ashbury",1
"102","12/09/2016","Non Life-threatening","Haight Ashbury",0
"103","12/10/2016","Non Life-threatening","Haight Ashbury",0
"104","12/11/2016","Non Life-threatening","Haight Ashbury",1
"105","12/12/2016","Non Life-threatening","Haight Ashbury",2
"106","12/13/2016","Non Life-threatening","Haight Ashbury",1
"107","12/14/2016","Non Life-threatening","Haight Ashbury",1
"108","12/15/2016","Non Life-threatening","Haight Ashbury",0
"109","12/16/2016","Non Life-threatening","Haight Ashbury",0
"110","12/17/2016","Non Life-threatening","Haight Ashbury",0
"111","12/18/2016","Non Life-threatening","Haight Ashbury",0
"112","12/19/2016","Non Life-threatening","Haight Ashbury",1
"113","12/20/2016","Non Life-threatening","Haight Ashbury",2
"114","12/21/2016","Non Life-threatening","Haight Ashbury",0
"115","12/22/2016","Non Life-threatening","Haight Ashbury",0
"116","12/23/2016","Non Life-threatening","Haight Ashbury",0
"117","12/24/2016","Non Life-threatening","Haight Ashbury",1
"118","12/25/2016","Non Life-threatening","Haight Ashbury",0
"119","12/26/2016","Non Life-threatening","Haight Ashbury",0
"120","12/27/2016","Non Life-threatening","Haight Ashbury",0
"121","12/28/2016","Non Life-threatening","Haight Ashbury",0
"122","12/29/2016","Non Life-threatening","Haight Ashbury",2
"123","12/30/2016","Non Life-threatening","Haight Ashbury",1
"124","12/31/2016","Non Life-threatening","Haight Ashbury",0
"125","12/01/2016","Potentially Life-Threatening","Haight Ashbury",0
"126","12/02/2016","Potentially Life-Threatening","Haight Ashbury",4
"127","12/03/2016","Potentially Life-Threatening","Haight Ashbury",0
"128","12/04/2016","Potentially Life-Threatening","Haight Ashbury",3
"129","12/05/2016","Potentially Life-Threatening","Haight Ashbury",3
"130","12/06/2016","Potentially Life-Threatening","Haight Ashbury",4
"131","12/07/2016","Potentially Life-Threatening","Haight Ashbury",0
"132","12/08/2016","Potentially Life-Threatening","Haight Ashbury",3
"133","12/09/2016","Potentially Life-Threatening","Haight Ashbury",3
"134","12/10/2016","Potentially Life-Threatening","Haight Ashbury",0
"135","12/11/2016","Potentially Life-Threatening","Haight Ashbury",3
"136","12/12/2016","Potentially Life-Threatening","Haight Ashbury",0
"137","12/13/2016","Potentially Life-Threatening","Haight Ashbury",1
"138","12/14/2016","Potentially Life-Threatening","Haight Ashbury",1
"139","12/15/2016","Potentially Life-Threatening","Haight Ashbury",2
"140","12/16/2016","Potentially Life-Threatening","Haight Ashbury",0
"141","12/17/2016","Potentially Life-Threatening","Haight Ashbury",0
"142","12/18/2016","Potentially Life-Threatening","Haight Ashbury",2
"143","12/19/2016","Potentially Life-Threatening","Haight Ashbury",3
"144","12/20/2016","Potentially Life-Threatening","Haight Ashbury",0
"145","12/21/2016","Potentially Life-Threatening","Haight Ashbury",0
"146","12/22/2016","Potentially Life-Threatening","Haight Ashbury",0
"147","12/23/2016","Potentially Life-Threatening","Haight Ashbury",4
"148","12/24/2016","Potentially Life-Threatening","Haight Ashbury",2
"149","12/25/2016","Potentially Life-Threatening","Haight Ashbury",1
"150","12/26/2016","Potentially Life-Threatening","Haight Ashbury",0
"151","12/27/2016","Potentially Life-Threatening","Haight Ashbury",1
"152","12/28/2016","Potentially Life-Threatening","Haight Ashbury",0
"153","12/29/2016","Potentially Life-Threatening","Haight Ashbury",3
"154","12/30/2016","Potentially Life-Threatening","Haight Ashbury",0
"155","12/31/2016","Potentially Life-Threatening","Haight Ashbury",1
"249","12/01/2016","Non Life-threatening","Inner Richmond",0
"250","12/02/2016","Non Life-threatening","Inner Richmond",0
"251","12/03/2016","Non Life-threatening","Inner Richmond",0
"252","12/04/2016","Non Life-threatening","Inner Richmond",0
"253","12/05/2016","Non Life-threatening","Inner Richmond",0
"254","12/06/2016","Non Life-threatening","Inner Richmond",2
"255","12/07/2016","Non Life-threatening","Inner Richmond",0
"256","12/08/2016","Non Life-threatening","Inner Richmond",0
"257","12/09/2016","Non Life-threatening","Inner Richmond",0
"258","12/10/2016","Non Life-threatening","Inner Richmond",0
"259","12/11/2016","Non Life-threatening","Inner Richmond",0
"260","12/12/2016","Non Life-threatening","Inner Richmond",0
"261","12/13/2016","Non Life-threatening","Inner Richmond",0
"262","12/14/2016","Non Life-threatening","Inner Richmond",1
"263","12/15/2016","Non Life-threatening","Inner Richmond",0
"264","12/16/2016","Non Life-threatening","Inner Richmond",0
"265","12/17/2016","Non Life-threatening","Inner Richmond",0
"266","12/18/2016","Non Life-threatening","Inner Richmond",0
"267","12/19/2016","Non Life-threatening","Inner Richmond",0
"268","12/20/2016","Non Life-threatening","Inner Richmond",0
"269","12/21/2016","Non Life-threatening","Inner Richmond",2
"270","12/22/2016","Non Life-threatening","Inner Richmond",1
"271","12/23/2016","Non Life-threatening","Inner Richmond",1
"272","12/24/2016","Non Life-threatening","Inner Richmond",2
"273","12/25/2016","Non Life-threatening","Inner Richmond",0
"274","12/26/2016","Non Life-threatening","Inner Richmond",0
"275","12/27/2016","Non Life-threatening","Inner Richmond",0
"276","12/28/2016","Non Life-threatening","Inner Richmond",0
"277","12/29/2016","Non Life-threatening","Inner Richmond",1
"278","12/30/2016","Non Life-threatening","Inner Richmond",0
"279","12/31/2016","Non Life-threatening","Inner Richmond",0
"280","12/01/2016","Potentially Life-Threatening","Inner Richmond",1
"281","12/02/2016","Potentially Life-Threatening","Inner Richmond",1
"282","12/03/2016","Potentially Life-Threatening","Inner Richmond",3
"283","12/04/2016","Potentially Life-Threatening","Inner Richmond",1
"284","12/05/2016","Potentially Life-Threatening","Inner Richmond",2
"285","12/06/2016","Potentially Life-Threatening","Inner Richmond",0
"286","12/07/2016","Potentially Life-Threatening","Inner Richmond",2
"287","12/08/2016","Potentially Life-Threatening","Inner Richmond",0
"288","12/09/2016","Potentially Life-Threatening","Inner Richmond",0
"289","12/10/2016","Potentially Life-Threatening","Inner Richmond",1
"290","12/11/2016","Potentially Life-Threatening","Inner Richmond",4
"291","12/12/2016","Potentially Life-Threatening","Inner Richmond",2
"292","12/13/2016","Potentially Life-Threatening","Inner Richmond",1
"293","12/14/2016","Potentially Life-Threatening","Inner Richmond",3
"294","12/15/2016","Potentially Life-Threatening","Inner Richmond",1
"295","12/16/2016","Potentially Life-Threatening","Inner Richmond",2
"296","12/17/2016","Potentially Life-Threatening","Inner Richmond",2
"297","12/18/2016","Potentially Life-Threatening","Inner Richmond",1
"298","12/19/2016","Potentially Life-Threatening","Inner Richmond",2
"299","12/20/2016","Potentially Life-Threatening","Inner Richmond",3
"300","12/21/2016","Potentially Life-Threatening","Inner Richmond",0
"301","12/22/2016","Potentially Life-Threatening","Inner Richmond",2
"302","12/23/2016","Potentially Life-Threatening","Inner Richmond",0
"303","12/24/2016","Potentially Life-Threatening","Inner Richmond",1
"304","12/25/2016","Potentially Life-Threatening","Inner Richmond",0
"305","12/26/2016","Potentially Life-Threatening","Inner Richmond",2
"306","12/27/2016","Potentially Life-Threatening","Inner Richmond",2
"307","12/28/2016","Potentially Life-Threatening","Inner Richmond",3
"308","12/29/2016","Potentially Life-Threatening","Inner Richmond",0
"309","12/30/2016","Potentially Life-Threatening","Inner Richmond",0
"310","12/31/2016","Potentially Life-Threatening","Inner Richmond",2
"404","12/01/2016","Non Life-threatening","Lone Mountain/USF",0
"405","12/02/2016","Non Life-threatening","Lone Mountain/USF",0
"406","12/03/2016","Non Life-threatening","Lone Mountain/USF",1
"407","12/04/2016","Non Life-threatening","Lone Mountain/USF",1
"408","12/05/2016","Non Life-threatening","Lone Mountain/USF",1
"409","12/06/2016","Non Life-threatening","Lone Mountain/USF",1
"410","12/07/2016","Non Life-threatening","Lone Mountain/USF",2
"411","12/08/2016","Non Life-threatening","Lone Mountain/USF",0
"412","12/09/2016","Non Life-threatening","Lone Mountain/USF",0
"413","12/10/2016","Non Life-threatening","Lone Mountain/USF",0
"414","12/11/2016","Non Life-threatening","Lone Mountain/USF",1
"415","12/12/2016","Non Life-threatening","Lone Mountain/USF",0
"416","12/13/2016","Non Life-threatening","Lone Mountain/USF",0
"417","12/14/2016","Non Life-threatening","Lone Mountain/USF",1
"418","12/15/2016","Non Life-threatening","Lone Mountain/USF",0
"419","12/16/2016","Non Life-threatening","Lone Mountain/USF",0
"420","12/17/2016","Non Life-threatening","Lone Mountain/USF",0
"421","12/18/2016","Non Life-threatening","Lone Mountain/USF",0
"422","12/19/2016","Non Life-threatening","Lone Mountain/USF",1
"423","12/20/2016","Non Life-threatening","Lone Mountain/USF",0
"424","12/21/2016","Non Life-threatening","Lone Mountain/USF",0
"425","12/22/2016","Non Life-threatening","Lone Mountain/USF",0
"426","12/23/2016","Non Life-threatening","Lone Mountain/USF",0
"427","12/24/2016","Non Life-threatening","Lone Mountain/USF",1
"428","12/25/2016","Non Life-threatening","Lone Mountain/USF",0
"429","12/26/2016","Non Life-threatening","Lone Mountain/USF",0
"430","12/27/2016","Non Life-threatening","Lone Mountain/USF",1
"431","12/28/2016","Non Life-threatening","Lone Mountain/USF",0
"432","12/29/2016","Non Life-threatening","Lone Mountain/USF",1
"433","12/30/2016","Non Life-threatening","Lone Mountain/USF",2
"434","12/31/2016","Non Life-threatening","Lone Mountain/USF",1
"435","12/01/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"436","12/02/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"437","12/03/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"438","12/04/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"439","12/05/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"440","12/06/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"441","12/07/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"442","12/08/2016","Potentially Life-Threatening","Lone Mountain/USF",2
"443","12/09/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"444","12/10/2016","Potentially Life-Threatening","Lone Mountain/USF",2
"445","12/11/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"446","12/12/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"447","12/13/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"448","12/14/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"449","12/15/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"450","12/16/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"451","12/17/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"452","12/18/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"453","12/19/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"454","12/20/2016","Potentially Life-Threatening","Lone Mountain/USF",3
"455","12/21/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"456","12/22/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"457","12/23/2016","Potentially Life-Threatening","Lone Mountain/USF",3
"458","12/24/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"459","12/25/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"460","12/26/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"461","12/27/2016","Potentially Life-Threatening","Lone Mountain/USF",1
"462","12/28/2016","Potentially Life-Threatening","Lone Mountain/USF",2
"463","12/29/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"464","12/30/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"465","12/31/2016","Potentially Life-Threatening","Lone Mountain/USF",0
"559","12/01/2016","Non Life-threatening","Presidio",0
"560","12/02/2016","Non Life-threatening","Presidio",1
"561","12/03/2016","Non Life-threatening","Presidio",0
"562","12/04/2016","Non Life-threatening","Presidio",0
"563","12/05/2016","Non Life-threatening","Presidio",0
"564","12/06/2016","Non Life-threatening","Presidio",0
"565","12/07/2016","Non Life-threatening","Presidio",0
"566","12/08/2016","Non Life-threatening","Presidio",0
"567","12/09/2016","Non Life-threatening","Presidio",0
"568","12/10/2016","Non Life-threatening","Presidio",0
"569","12/11/2016","Non Life-threatening","Presidio",0
"570","12/12/2016","Non Life-threatening","Presidio",1
"571","12/13/2016","Non Life-threatening","Presidio",0
"572","12/14/2016","Non Life-threatening","Presidio",0
"573","12/15/2016","Non Life-threatening","Presidio",0
"574","12/16/2016","Non Life-threatening","Presidio",0
"575","12/17/2016","Non Life-threatening","Presidio",0
"576","12/18/2016","Non Life-threatening","Presidio",0
"577","12/19/2016","Non Life-threatening","Presidio",0
"578","12/20/2016","Non Life-threatening","Presidio",1
"579","12/21/2016","Non Life-threatening","Presidio",0
"580","12/22/2016","Non Life-threatening","Presidio",0
"581","12/23/2016","Non Life-threatening","Presidio",0
"582","12/24/2016","Non Life-threatening","Presidio",0
"583","12/25/2016","Non Life-threatening","Presidio",1
"584","12/26/2016","Non Life-threatening","Presidio",0
"585","12/27/2016","Non Life-threatening","Presidio",0
"586","12/28/2016","Non Life-threatening","Presidio",0
"587","12/29/2016","Non Life-threatening","Presidio",0
"588","12/30/2016","Non Life-threatening","Presidio",0
"589","12/31/2016","Non Life-threatening","Presidio",0
"590","12/01/2016","Potentially Life-Threatening","Presidio",0
"591","12/02/2016","Potentially Life-Threatening","Presidio",1
"592","12/03/2016","Potentially Life-Threatening","Presidio",0
"593","12/04/2016","Potentially Life-Threatening","Presidio",0
"594","12/05/2016","Potentially Life-Threatening","Presidio",0
"595","12/06/2016","Potentially Life-Threatening","Presidio",0
"596","12/07/2016","Potentially Life-Threatening","Presidio",0
"597","12/08/2016","Potentially Life-Threatening","Presidio",0
"598","12/09/2016","Potentially Life-Threatening","Presidio",0
"599","12/10/2016","Potentially Life-Threatening","Presidio",1
"600","12/11/2016","Potentially Life-Threatening","Presidio",1
"601","12/12/2016","Potentially Life-Threatening","Presidio",0
"602","12/13/2016","Potentially Life-Threatening","Presidio",0
"603","12/14/2016","Potentially Life-Threatening","Presidio",1
"604","12/15/2016","Potentially Life-Threatening","Presidio",0
"605","12/16/2016","Potentially Life-Threatening","Presidio",0
