"","callDate","callType","neighborhood","Freq"
"714","12/01/2016","Non Life-threatening","Western Addition",2
"715","12/02/2016","Non Life-threatening","Western Addition",2
"716","12/03/2016","Non Life-threatening","Western Addition",2
"717","12/04/2016","Non Life-threatening","Western Addition",2
"718","12/05/2016","Non Life-threatening","Western Addition",3
"719","12/06/2016","Non Life-threatening","Western Addition",0
"720","12/07/2016","Non Life-threatening","Western Addition",1
"721","12/08/2016","Non Life-threatening","Western Addition",1
"722","12/09/2016","Non Life-threatening","Western Addition",0
"723","12/10/2016","Non Life-threatening","Western Addition",1
"724","12/11/2016","Non Life-threatening","Western Addition",3
"725","12/12/2016","Non Life-threatening","Western Addition",3
"726","12/13/2016","Non Life-threatening","Western Addition",0
"727","12/14/2016","Non Life-threatening","Western Addition",2
"728","12/15/2016","Non Life-threatening","Western Addition",3
"729","12/16/2016","Non Life-threatening","Western Addition",1
"730","12/17/2016","Non Life-threatening","Western Addition",1
"731","12/18/2016","Non Life-threatening","Western Addition",3
"732","12/19/2016","Non Life-threatening","Western Addition",1
"733","12/20/2016","Non Life-threatening","Western Addition",1
"734","12/21/2016","Non Life-threatening","Western Addition",1
"735","12/22/2016","Non Life-threatening","Western Addition",1
"736","12/23/2016","Non Life-threatening","Western Addition",2
"737","12/24/2016","Non Life-threatening","Western Addition",1
"738","12/25/2016","Non Life-threatening","Western Addition",1
"739","12/26/2016","Non Life-threatening","Western Addition",0
"740","12/27/2016","Non Life-threatening","Western Addition",2
"741","12/28/2016","Non Life-threatening","Western Addition",1
"742","12/29/2016","Non Life-threatening","Western Addition",1
"743","12/30/2016","Non Life-threatening","Western Addition",0
"744","12/31/2016","Non Life-threatening","Western Addition",3
"745","12/01/2016","Potentially Life-Threatening","Western Addition",4
"746","12/02/2016","Potentially Life-Threatening","Western Addition",6
"747","12/03/2016","Potentially Life-Threatening","Western Addition",1
"748","12/04/2016","Potentially Life-Threatening","Western Addition",4
"749","12/05/2016","Potentially Life-Threatening","Western Addition",3
"750","12/06/2016","Potentially Life-Threatening","Western Addition",3
"751","12/07/2016","Potentially Life-Threatening","Western Addition",1
"752","12/08/2016","Potentially Life-Threatening","Western Addition",3
"753","12/09/2016","Potentially Life-Threatening","Western Addition",6
"754","12/10/2016","Potentially Life-Threatening","Western Addition",1
"755","12/11/2016","Potentially Life-Threatening","Western Addition",3
"756","12/12/2016","Potentially Life-Threatening","Western Addition",1
"757","12/13/2016","Potentially Life-Threatening","Western Addition",3
"758","12/14/2016","Potentially Life-Threatening","Western Addition",3
"759","12/15/2016","Potentially Life-Threatening","Western Addition",3
"760","12/16/2016","Potentially Life-Threatening","Western Addition",2
"761","12/17/2016","Potentially Life-Threatening","Western Addition",3
"762","12/18/2016","Potentially Life-Threatening","Western Addition",2
"763","12/19/2016","Potentially Life-Threatening","Western Addition",2
"764","12/20/2016","Potentially Life-Threatening","Western Addition",5
"765","12/21/2016","Potentially Life-Threatening","Western Addition",1
"766","12/22/2016","Potentially Life-Threatening","Western Addition",2
"767","12/23/2016","Potentially Life-Threatening","Western Addition",3
"768","12/24/2016","Potentially Life-Threatening","Western Addition",2
"769","12/25/2016","Potentially Life-Threatening","Western Addition",4
"770","12/26/2016","Potentially Life-Threatening","Western Addition",2
"771","12/27/2016","Potentially Life-Threatening","Western Addition",2
"772","12/28/2016","Potentially Life-Threatening","Western Addition",4
"773","12/29/2016","Potentially Life-Threatening","Western Addition",5
"774","12/30/2016","Potentially Life-Threatening","Western Addition",5
"775","12/31/2016","Potentially Life-Threatening","Western Addition",1
